# timestamp_ms	node01	node02	node03	owner_count
1787688008794	0	0	0	0
1787688009005	0	0	0	0
1787688009216	0	0	0	0
1787688009427	0	0	0	0
1787688009636	0	0	0	0
1787688009846	0	0	0	0
1787688010056	0	1	0	1
1787688010266	0	1	0	1
1787688010444	0	1	0	1
1787688010476	0	1	0	1
1787688010655	0	1	0	1
1787688010687	0	1	0	1
1787688010866	0	1	0	1
1787688010897	0	1	0	1
1787688011076	0	1	0	1
1787688011107	0	1	0	1
1787688011286	0	1	0	1
1787688011318	0	1	0	1
1787688011496	0	1	0	1
1787688011529	0	1	0	1
1787688011706	0	1	0	1
1787688011740	0	1	0	1
1787688011917	0	1	0	1
1787688011950	0	1	0	1
1787688012127	0	1	0	1
1787688012135	0	1	0	1
1787688012160	0	1	0	1
1787688012337	0	1	0	1
1787688012346	0	1	0	1
1787688012371	0	1	0	1
1787688012547	0	1	0	1
1787688012557	0	1	0	1
1787688012581	0	1	0	1
1787688012757	0	1	0	1
1787688012767	0	1	0	1
1787688012792	0	1	0	1
1787688012968	0	1	0	1
1787688012978	0	1	0	1
1787688013002	0	1	0	1
1787688013178	0	1	0	1
1787688013189	0	1	0	1
1787688013212	0	1	0	1
1787688013388	0	1	0	1
1787688013399	0	1	0	1
1787688013422	0	1	0	1
1787688013598	0	1	0	1
1787688013609	0	1	0	1
1787688013633	0	1	0	1
1787688013808	0	1	0	1
1787688013820	0	1	0	1
1787688013843	0	1	0	1
1787688014018	0	1	0	1
1787688014030	0	1	0	1
1787688014053	0	1	0	1
1787688014229	0	1	0	1
1787688014240	0	1	0	1
1787688014263	0	1	0	1
1787688014439	0	1	0	1
1787688014451	0	1	0	1
1787688014473	0	1	0	1
1787688014649	0	1	0	1
1787688014661	0	1	0	1
1787688014684	0	1	0	1
1787688014859	0	1	0	1
1787688014872	0	1	0	1
1787688014894	0	1	0	1
1787688015069	0	1	0	1
1787688015082	0	1	0	1
1787688015104	0	1	0	1
1787688015280	0	1	0	1
1787688015292	0	1	0	1
1787688015314	0	1	0	1
1787688015490	0	1	0	1
1787688015502	0	1	0	1
1787688015525	0	1	0	1
1787688015700	0	1	0	1
1787688015713	0	1	0	1
1787688015735	0	1	0	1
1787688015910	0	1	0	1
1787688015924	0	1	0	1
1787688015945	0	1	0	1
1787688016120	0	1	0	1
1787688016134	0	1	0	1
1787688016155	0	1	0	1
1787688016330	0	1	0	1
1787688016345	0	1	0	1
1787688016365	0	1	0	1
1787688016541	0	1	0	1
1787688016555	0	1	0	1
1787688016576	0	1	0	1
1787688016751	0	1	0	1
1787688016766	0	1	0	1
1787688016786	0	1	0	1
1787688016961	0	1	0	1
1787688016976	0	1	0	1
1787688016996	0	1	0	1
1787688017171	0	1	0	1
1787688017187	0	1	0	1
1787688017207	0	1	0	1
1787688017381	0	1	0	1
1787688017398	0	1	0	1
1787688017417	0	1	0	1
1787688017592	0	1	0	1
1787688017608	0	1	0	1
1787688017627	0	1	0	1
1787688017802	0	1	0	1
1787688017818	0	1	0	1
1787688017837	0	1	0	1
1787688018012	0	1	0	1
1787688018029	0	1	0	1
1787688018047	0	1	0	1
1787688018222	0	1	0	1
1787688018239	0	1	0	1
1787688018257	0	1	0	1
1787688018433	0	1	0	1
1787688018449	0	1	0	1
1787688018467	0	1	0	1
1787688018643	0	1	0	1
1787688018660	0	1	0	1
1787688018677	0	1	0	1
1787688018853	0	1	0	1
1787688018870	0	1	0	1
1787688018887	0	1	0	1
1787688019063	0	1	0	1
1787688019080	0	1	0	1
1787688019097	0	1	0	1
1787688019274	0	1	0	1
1787688019290	0	1	0	1
1787688019308	0	1	0	1
1787688019484	0	1	0	1
1787688019500	0	1	0	1
1787688019518	0	1	0	1
1787688019694	0	1	0	1
